ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10_1_hit.vs.LPS100_1_hit.logFC	LPS100.A10_1_hit.vs.LPS100.B100_1_hit.logFC	LPS100.A10_1_hit.vs.LPS100_1_hit.p.value	LPS100.A10_1_hit.vs.LPS100.B100_1_hit.p.value
ENSOARG00000017266	101118659	ABCD3	ATP binding cassette subfamily D member 3	1.04805278591875	1.06303594273372	0.0418693031807249	0.0362003317667377
ENSOARG00000017354	101115327	NXF1	nuclear RNA export factor 1	1.38911577860564	1.46219808353923	0.000514317673622913	0.000282909626799846
ENSOARG00000017389	101104785	HVCN1	hydrogen voltage gated channel 1	-1.79980409123606	-1.95108178942805	0.0268381659813897	0.015491888532262
ENSOARG00000017639	443535	LDLR	low density lipoprotein receptor	-1.11253722565681	-1.08756725194908	0.0339628563592985	0.0386353687600726
ENSOARG00000017687				-1.28585253823129	-1.24275535766452	0.019299821860889	0.0243020646924127
ENSOARG00000018487	101110464	CTSW	cathepsin W	2.28348530847197	2.6550026442919	0.0334806652101265	0.0159124202717273
ENSOARG00000018517	101105413	CORO2B	coronin 2B	1.45023871087814	1.4805354428596	0.00513009864480196	0.00436140429205356
ENSOARG00000018528	101123140	TGM2	transglutaminase 2	-1.73071031046031	-1.74892790873968	0.000514317673622913	0.000315374898215734
ENSOARG00000018906		HHLA2	HERV-H LTR-associating 2	-1.73207721080236	-1.62125356460478	0.0086819781317641	0.0140065931112743
ENSOARG00000018943	100036757	CYBB	cytochrome b-245, beta polypeptide	-1.2329552934441	-1.12445388478165	0.00411233130494305	0.00946865863969425
ENSOARG00000019012	101121699	SRXN1	sulfiredoxin 1	1.50652848459927	1.37083840023397	0.0120355483159515	0.0205663306327567
ENSOARG00000019084	101118617	NFATC4	nuclear factor of activated T cells 4	-1.77248619291138	-1.90563416471612	0.00169088456501349	0.000985507063558428
ENSOARG00000019218	101103309	CYTH4	cytohesin 4	-1.60275606215433	-1.39803575648086	0.00134768866540182	0.00259451992125653
ENSOARG00000019400	101109786	RAPGEF3	Rap guanine nucleotide exchange factor 3	-1.59363878731169	-1.60790999595206	0.0280399663973513	0.0251322672955315
ENSOARG00000019734	101111785	WNT6	Wnt family member 6	-1.57156738282026	-1.90927320258793	0.0201771146068962	0.00576558888074504
ENSOARG00000019762	554317	CD80	CD80 molecule	-1.80626344339208	-1.7425673110481	0.029924839939142	0.035125467594645
ENSOARG00000019779	101112046	ARNTL2	aryl hydrocarbon receptor nuclear translocator like 2	-2.14672049336071	-2.25534112293075	0.00276531665118173	0.00196886898262459
ENSOARG00000019783	101121240	SCG2	secretogranin II	-2.66661483968738	-2.90171585251173	0.00276531665118173	0.00160359632245624
ENSOARG00000019986	101105759	GPR63	G protein-coupled receptor 63	-1.34598811427798	-1.50518295586447	0.0312631160547223	0.0147127394637431
ENSOARG00000020032	101116286	LOC101116286	tubulin alpha-1D chain	-1.39753520669214	-1.34508951048448	0.0287341884212878	0.035125467594645
ENSOARG00000020042	101106292	LOC101106292	histone H2A type 1	2.378297561242	2.09847511069521	0.00962757432473814	0.0173776136706388
ENSOARG00000020044	101105504	RASGRP1	RAS guanyl releasing protein 1	-1.95693339077291	-1.93957330089443	0.0136467744206076	0.0145339218441126
ENSOARG00000020058	101106433	THBS1	thrombospondin 1	-1.21615276065563	-1.2589945389016	0.0339628563592985	0.0250950173970996
ENSOARG00000020076	101108086	LOC101108086	histone H2B type 1	2.54751175169764	2.40285526144897	0.001474939544401	0.00160359632245624
ENSOARG00000020077	101112356	HIST1H1T	histone H1t	2.96367009908434	2.76928267929179	0.000563583777751488	0.000941812817057219
ENSOARG00000020119	101112527	CASR	calcium sensing receptor	-2.02069009131892	-2.20140129346775	0.00116307551581484	0.000538209289650176
ENSOARG00000020324	101121225		transmembrane 4 L six family member 19	-2.65002376877738	-2.40313527263255	0.00598676504431298	0.0108269948040009
ENSOARG00000020341	101104226	C3AR1	complement C3a receptor 1	-1.41837971941726	-1.46758685845148	0.00295982240032866	0.00241688758316062
ENSOARG00000020437	101123187	DOCK10	dedicator of cytokinesis 10	-1.19016661870194	-1.01699575130088	0.00342506517047206	0.0146590766444198
ENSOARG00000020630	101106058	SP110	SP110 nuclear body protein	-1.49187776627353	-1.41703372324674	0.024863691172917	0.0321891390343108
ENSOARG00000020669	101120455	HIST2H2BF	histone H2B type 2-F	2.00269769612442	1.6135474183508	0.00295982240032866	0.0106467957846475
ENSOARG00000020741	101114153	TNFSF10	TNF superfamily member 10	-2.39862822244005	-2.19816927016891	0.0136467744206076	0.0216987774193566
ENSOARG00000020763	101108212	GUCY2C	guanylate cyclase 2C	2.37073154194241	2.68775384029446	0.000514317673622913	0.000282909626799846
ENSOARG00000020784	101111288	CA12	carbonic anhydrase 12	-1.18716584615132	-1.23147684326122	0.0165392329403305	0.012356258162988
ENSOARG00000020828	780505	IL1RN	interleukin 1 receptor antagonist	-1.42594963887822	-1.37282966779793	0.0334806652101265	0.0385828362133143
ENSOARG00000020867	101119219	CGNL1	cingulin like 1	-1.15072617418428	-1.23812428418429	0.00542644447975897	0.00300975415415513
ENSOARG00000020935	101111591	SEMA6C	semaphorin 6C	2.87559568228187	2.81679944408033	0.00288278218853394	0.00282308221607807
ENSOARG00000021177		ZFP36L1	ZFP36 ring finger protein like 1	-1.12697067530854	-1.11478321652615	0.0468277648660569	0.0491224398981217
