ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.Ctrl_1_hit.logFC	LPS100.A10_1_hit.vs.Ctrl_1_hit.logFC	LPS100.B100_1_hit.vs.Ctrl_1_hit.logFC	LPS100_1_hit.vs.Ctrl_1_hit.p.value	LPS100.A10_1_hit.vs.Ctrl_1_hit.p.value	LPS100.B100_1_hit.vs.Ctrl_1_hit.p.value
ENSOARG00000003959	101120047	RASGEF1A	RasGEF domain family member 1A	-1.83536522698532	-1.72050973813652	-1.88836064090208	0.000357833595840996	0.00059149710810173	0.000300704956921285
ENSOARG00000003976	101102533	SH2D4A	SH2 domain containing 4A	1.91421082230052	1.83049441842785	1.98890880636446	0.00208545347172998	0.00295891667085468	0.00151985223249407
ENSOARG00000004015		CD248	CD248 molecule	-1.08769339441109	-1.56833130871104	-1.04670947912516	0.0217645436996243	0.0011056295427131	0.0317153925213554
ENSOARG00000004043	101114759	GPN2	GPN-loop GTPase 2	1.21222600419744	1.34012528214005	1.18227170546785	0.000129254603538709	5.52493403917775e-05	0.000181265005027548
ENSOARG00000004052	101106614	PLEKHF1	pleckstrin homology and FYVE domain containing 1	-2.58692475617524	-2.26335470166441	-2.42198159097701	0.000202304880339228	0.00049833335670894	0.000325737384265129
ENSOARG00000004070	101112099	CALHM2	calcium homeostasis modulator family member 2	-1.81031616252192	-2.27605780608645	-1.58026519041164	0.000106679280964974	2.28874119436294e-05	0.000353047837266583
ENSOARG00000004074	101113711	RIN1	Ras and Rab interactor 1	-1.83880100237645	-2.15622904034148	-1.48515803337307	0.000179653465398084	6.07767470042709e-05	0.000996821456773259
ENSOARG00000004084	101104058	NUB1	negative regulator of ubiquitin like proteins 1	1.90125746821685	1.42979739236352	1.78392898341008	0.000588017650700139	0.00536692260640841	0.000982282967456131
ENSOARG00000004106	101105165	CNKSR3	CNKSR family member 3	1.71710062257486	2.12423588563136	1.73319946561304	0.000108507357803532	2.28874119436294e-05	0.000101552852575668
ENSOARG00000004193				-1.61694128900992	-1.57530309553717	-1.47504630846963	0.00964340312607139	0.0105905627993231	0.0164367635760057
ENSOARG00000004207	101104826	MYO1F	myosin IF	-1.91750113636898	-2.58588047883081	-2.17504511896708	0.00583079893347565	0.000781954988616116	0.00259394364428009
ENSOARG00000004241	780493	SMO	smoothened, frizzled class receptor	-1.02411578803349	-1.05383042200152	-1.03568627184069	0.0221141025265557	0.0175269205087177	0.0211614496936582
ENSOARG00000004253	101114285	LOC101114285	C-C motif chemokine 4	5.11323836173391	5.1546402976944	4.91059703192652	2.81397576601734e-05	3.22612006715589e-05	3.70225912940663e-05
ENSOARG00000004261	101105341	RSAD1	radical S-adenosyl methionine domain containing 1	-1.44106803834301	-1.15949382896451	-1.58497373140067	0.00563987449043304	0.0270690477801155	0.00312888097276271
ENSOARG00000004300				-2.8809174227453	-2.94139636147456	-2.78670757112252	5.86320967124931e-05	5.66593699309219e-05	7.63658048355708e-05
ENSOARG00000004314	101121790	G0S2	G0/G1 switch 2	4.83635760007352	3.29755222012008	4.99331433281899	0.000652056628763421	0.00969023053626252	0.000524441194468715
ENSOARG00000004338	101120983	RHOBTB1	Rho related BTB domain containing 1	-1.34891992709473	-1.43748754330227	-1.11381896753247	0.00384833050711285	0.00223617864938358	0.0192440520712886
ENSOARG00000004367	101114535	LOC101114535	C-C motif chemokine 3	4.44680416819487	4.9069970734069	4.25438429628816	2.33401352776264e-06	1.3832733986391e-06	2.8818887817208e-06
ENSOARG00000004381	101121233	TMEM26	transmembrane protein 26	-1.26224028378889	-3.00969802961584	-1.32060084282666	0.0147319226301154	5.08007095824495e-05	0.0111933121852662
ENSOARG00000004414				-4.48651758737209	-3.67419077758773	-4.30013146921237	1.60497561070264e-06	4.45283896044914e-06	2.09018567993745e-06
ENSOARG00000004431	101108995	XIRP2	xin actin binding repeat containing 2	-2.09908928366627	-2.89693765219532	-2.11314984658899	0.00659443169912786	0.000884371496456727	0.00655399759533938
ENSOARG00000004443	101102410	XRN2	5'-3' exoribonuclease 2	1.63481557434092	0.967297485355629	1.54796503200608	0.000372917041712642	0.0414851686477656	0.000601722398254914
ENSOARG00000004480	101110190	TTC39A	tetratricopeptide repeat domain 39A	-1.55493043918434	-2.38736556150643	-2.16207653229109	0.0344664115766629	0.0033779488764487	0.00634258327533799
ENSOARG00000004500	780506	NAMPT	nicotinamide phosphoribosyltransferase	2.74387859113866	1.92706081238263	2.67919433000833	0.000108507357803532	0.00151603052399051	0.000128387260428495
ENSOARG00000004505	101104483	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2	-1.07040058261851	-1.31880057753714	-1.10180016447526	0.00114012620438197	0.000117759282589811	0.000828975629931717
ENSOARG00000004519	101116560	CARD9	caspase recruitment domain family member 9	-1.21819541700794	-1.14874441133436	-1.36913777029097	0.00090450538248857	0.00170545933083095	0.000315320950139284
ENSOARG00000004523	780457		superoxide dismutase 2	3.05661178383036	2.85411004361342	3.06169259710428	5.21644573787182e-07	8.02390684369021e-07	5.25686308437123e-07
ENSOARG00000004531		WTAP	WT1 associated protein	1.38270166743464	1.16319104469782	1.29005102872305	0.000143357161663848	0.000869237155044182	0.000300704956921285
ENSOARG00000004577	101121707	INPPL1	inositol polyphosphate phosphatase like 1	-0.818221596701229	-1.16160076541371	-0.795549157560217	0.0224687283690534	0.000188358744851748	0.0351859065030901
ENSOARG00000004758	101112420	ENC1	ectodermal-neural cortex 1	-1.76441763179711	-2.07262257789233	-1.82888850157958	9.83712078206586e-05	3.12040957668928e-05	7.52211352998416e-05
ENSOARG00000004764	101113261	IL34	interleukin 34	-1.27266226621182	-2.78837115113298	-1.28387262165467	0.0109637442219162	5.66593699309219e-05	0.0106247271224521
ENSOARG00000004791	101102607	NETO1	neuropilin and tolloid like 1	2.21065412522881	1.92169120050372	2.30836989066284	0.000806907119382388	0.00237521566579182	0.000585442167760423
ENSOARG00000004812	101115330	FERMT3	fermitin family member 3	-1.21364537388583	-2.13478733852997	-1.37962167124479	0.0154294955781123	0.000213978872599657	0.00588584393777418
ENSOARG00000004824	443301	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	-1.01373915298479	-1.16016983991632	-1.07078663734196	0.00191736892254258	0.000368934909046131	0.000934544204059169
ENSOARG00000004844	101105828	MSC	musculin	1.91858728841234	1.17222910676567	1.91217454207053	0.000285014476381821	0.0173166572611895	0.000313389765803068
ENSOARG00000004887	101112110	TTYH3	tweety family member 3	-1.01030514587517	-1.20909497530136	-0.960000213334303	0.00267833794170866	0.00031322777177307	0.00539601403065833
ENSOARG00000004917	101118695	SH3TC2	SH3 domain and tetratricopeptide repeats 2	-1.57518782098945	-2.19119774824687	-1.86883172520625	0.00201028860791744	0.000205155385054835	0.00063219436654451
ENSOARG00000004930	101119157	MMP12	matrix metallopeptidase 12	2.91265449522203	1.959909739955	2.88677787581178	0.00126136165689757	0.017607377823097	0.00142734780921679
ENSOARG00000004942	101118349	KCNT1	potassium sodium-activated channel subfamily T member 1	-3.11962802883529	-3.40659058714109	-3.06284947939489	8.8877024931554e-05	6.07767470042709e-05	9.94877967092049e-05
ENSOARG00000004964	101115553	CCL5	C-C motif chemokine ligand 5	6.11274315738823	5.23299748233393	6.16036391300784	5.21644573787182e-07	9.04922319602844e-07	5.10065007238898e-07
ENSOARG00000004969	641306	SLPI	secretory leukocyte peptidase inhibitor	5.61270663628945	4.8547011014912	5.99978653778938	4.12722778601074e-05	0.000122290124085719	2.54645624852932e-05
ENSOARG00000004971	101122222	IRAK2	interleukin 1 receptor associated kinase 2	1.98832887634232	1.78837282378778	2.02687375356116	0.00264261215090083	0.00584757142434788	0.00234877934270307
ENSOARG00000004992		LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	-1.85123828534919	-1.48415003467336	-1.50300922738993	8.55903389836507e-05	0.000527745929724308	0.000492228788568347
ENSOARG00000004997	101114855	AVIL	advillin	2.0764717692246	1.6570223821137	2.1598845518316	0.00371579281582893	0.0198113690181824	0.00278337208165238
ENSOARG00000005014	101118949	ABLIM3	actin binding LIM protein family member 3	-1.22868979597388	-1.25292280125503	-1.04936660680045	0.0134496970059213	0.0114742514270206	0.0468119373649508
ENSOARG00000005032	101108643	PTPN6	protein tyrosine phosphatase, non-receptor type 6	-2.4802991588388	-3.04877373921477	-2.63107571510384	2.43392872621055e-05	7.69797251925777e-06	1.73818367852664e-05
ENSOARG00000005044				-1.4683281378027	-1.36755866619867	-1.31660138343801	0.00369344050218221	0.00589693010104516	0.00861008292609454
ENSOARG00000005065	101107717	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	-1.71797408014463	-1.10038530015996	-1.39738988643676	0.000128736155736192	0.00698161921633398	0.000716256425908819
ENSOARG00000005073	101107019	GRK6	G protein-coupled receptor kinase 6	-1.25079747603934	-1.32107135163049	-1.05121540213646	0.00417223839245253	0.00244403478589676	0.0206401464449659
ENSOARG00000005084	101118895	MMP3	matrix metallopeptidase 3	2.35365735609863	2.09584379322119	2.28804569933835	0.000898944548002264	0.00221873070497825	0.0011290735935454
ENSOARG00000005095	101115108	TSFM	Ts translation elongation factor, mitochondrial	1.2695309663589	1.26416768152502	1.30668202820125	0.000122878599631978	0.00013497129863819	9.36638410445962e-05
ENSOARG00000005105	101111217	RBPJL	recombining binding protein suppressor of hairless-like protein	1.49074864239444	1.604406766036	1.68908627881518	0.00147575180121434	0.000804313876312798	0.000527421273906324
ENSOARG00000005121	101119212	AFAP1L1	actin filament associated protein 1 like 1	-2.39078924876706	-2.67025910758163	-2.18379527446903	0.000142528577825216	7.56970724060278e-05	0.000268475378483594
ENSOARG00000005128		CDK2AP1	cyclin dependent kinase 2 associated protein 1	-1.04483454318297	-1.17106937206733	-1.10511008514014	0.00654058630094276	0.00180261979525968	0.00358159241435578
ENSOARG00000005136	101107944	MSH2	mutS homolog 2	-1.59182889266446	-1.39535636975987	-1.30555203605301	0.000177517218084713	0.000514680527456493	0.000927690351106731
ENSOARG00000005154	101104928	NFKBID	NFKB inhibitor delta	1.69630436366537	2.23313446332744	1.71901647242322	0.0148442474351033	0.00211838341464124	0.0143297508602226
ENSOARG00000005159	101104705	LOC101104705	plasminogen activator inhibitor 2-like	3.55389255085052	2.18891171937313	3.57185654917862	4.08660007218584e-05	0.00112581473625337	4.02121281228506e-05
ENSOARG00000005188	101116509	MAP1B	microtubule associated protein 1B	-1.46850338852595	-1.68513876327748	-1.55735054667546	0.00178318193334327	0.000614210404966149	0.00119733401443133
ENSOARG00000005209		SDC4	syndecan 4	2.47245833279737	2.36267657576988	2.46064138267733	5.01472347667468e-06	8.25274108079968e-06	4.98023377374176e-06
ENSOARG00000005222	101116039	CYP27B1	25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial	1.68403546346128	1.6967170153767	1.65013318584232	0.00084599084284097	0.00078289074683585	0.00109490170597195
ENSOARG00000005246	101108668	SAMD14	sterile alpha motif domain containing 14	-1.1931527345141	-1.23284837144672	-1.08693798625659	0.00286193615780038	0.0020268918370916	0.00773808565985352
ENSOARG00000005254	101122946	PRR7	proline rich 7, synaptic	-2.3350299807027	-2.67979386125104	-2.21728173487586	0.000136357296948472	6.09057705823382e-05	0.000201002586514729
ENSOARG00000005263	101120777	PLEKHA7	pleckstrin homology domain containing A7	-1.60934973226081	-3.24523963603949	-1.73728423230654	0.000135641754240325	1.29806982080621e-06	7.69795574938639e-05
ENSOARG00000005293	101116087	PACSIN3	protein kinase C and casein kinase substrate in neurons 3	-1.58010130885158	-2.15878525089017	-1.63763344621727	0.0149141992286693	0.00198215094859459	0.0129625680849472
ENSOARG00000005302	101123207	DBN1	drebrin 1	-1.72934407378904	-1.92421907056298	-1.76650357600641	0.000285014476381821	0.000122290124085719	0.000243680566878008
ENSOARG00000005315	101120355	MMP1	matrix metallopeptidase 1	4.08497517888271	3.75442505711268	4.05667352148091	0.000343547910167819	0.000563501644607895	0.000364334135995805
ENSOARG00000005419	101108206	TTC7A	tetratricopeptide repeat domain 7A	-1.28082779889285	-1.46618660176738	-1.17706248841847	0.00622866842179719	0.00203110768563305	0.0130296293028577
ENSOARG00000005430				2.85347899127472	1.54991904593615	2.52459676572229	0.000477380874314843	0.0406899017914354	0.00125118180546088
ENSOARG00000005431	101115591	MOCOS	molybdenum cofactor sulfurase	1.36393055131874	1.40545919455281	1.35852009545432	0.00626821439917779	0.0049421759856236	0.00669660147708463
ENSOARG00000005451	101119691	PAGR1	PAXIP1 associated glutamate rich protein 1	-1.2313022421493	-1.41078408079001	-1.31059354271198	0.00652626410977821	0.00206635447067088	0.00389081615725672
ENSOARG00000005499				2.46192736719934	0.966320133768059	2.70145925224943	9.10065610727863e-06	0.0403296669410924	4.31708495925371e-06
ENSOARG00000005523	101122983		TNF alpha induced protein 2	3.24637991705671	2.13520678394923	3.25693278529984	2.8239729843107e-06	6.2094602453867e-05	2.8818887817208e-06
ENSOARG00000005599	101105327	DENND1C	DENN domain containing 1C	-1.74400281862119	-2.25333672651908	-2.08405833487471	0.00403694735294911	0.000675653964763731	0.00120356193869203
ENSOARG00000005617		TNFSF13B	TNF superfamily member 13b	2.42300466178717	1.75286941039138	2.44231262084698	6.13305552113237e-05	0.000859902673067255	6.22241761856058e-05
ENSOARG00000005642	101102148	PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma	-1.90916776062252	-2.61763025153862	-1.79948961523942	0.00102987608646795	0.000134408407197769	0.00169036687916419
ENSOARG00000005647	101112342	RASGRP4	RAS guanyl releasing protein 4	-2.41850402470335	-2.99955741664815	-2.57148643894658	0.000806907119382388	0.000242885766592812	0.000584970088580754
ENSOARG00000005650	101104295	ARHGEF10	Rho guanine nucleotide exchange factor 10	-1.19555915010867	-0.93728442588945	-1.02853146931574	0.000610785148096409	0.0115068478408265	0.00377171640956881
ENSOARG00000005658	101121771	PPARGC1B	PPARG coactivator 1 beta	-1.45720173309233	-1.27976955797364	-1.44980874252205	0.0187016951090625	0.0412318442070932	0.0210338124004398
ENSOARG00000005735	105609414	UMAD1	UBAP1-MVB12-associated (UMA) domain containing 1	1.6494537726567	1.21652551425291	1.73376131866169	0.00403694735294911	0.0335789091646576	0.00274879976458019
ENSOARG00000005737	101117178		ras association domain-containing protein 5	2.8171476589411	2.86980617625888	2.46878197696474	1.5525731973089e-05	1.65430627722477e-05	4.45147932931359e-05
ENSOARG00000005821	101102359	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	2.08102542962235	2.37132639219802	2.11271385796688	0.000115358642247301	4.75711970762461e-05	0.000103753228285297
ENSOARG00000005846	101114540	TMC8	transmembrane channel like 8	-1.22351311489777	-1.78327179255351	-1.31086435155737	0.00384126887464952	0.000178396637138797	0.00211709530662763
ENSOARG00000005850	101109145	TYSND1	trypsin domain containing 1	-2.08520403195754	-1.14304062708589	-2.00972132580465	6.35833450621549e-05	0.00839603367101598	8.62535469663128e-05
ENSOARG00000005852	101117567	TRIM32	tripartite motif containing 32	-1.568122738302	-0.957302393624838	-1.68076645825407	0.000164112464164043	0.0194354830263047	9.41126610571715e-05
ENSOARG00000005857	101123589	NBEAL2	neurobeachin like 2	-1.73031468646907	-1.86195945144186	-1.81153595927492	5.63418514572454e-05	3.53248691341337e-05	4.03590271682812e-05
ENSOARG00000005858	101116762	NR1H3	nuclear receptor subfamily 1 group H member 3	-1.48671435147908	-1.32215264398724	-1.56666431435914	0.000170261141161461	0.000471807488188934	0.000112217574190422
ENSOARG00000005870	101121455	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	1.19216116056463	0.959581182887373	1.29456747277115	0.00543944273627688	0.0438274677288585	0.00253752606407385
ENSOARG00000005899	101113618	NFKBIB	NFKB inhibitor beta	1.59938627942379	1.60137287594006	1.63213777627295	4.3049838289025e-05	4.90325738434203e-05	3.72751815378951e-05
ENSOARG00000005906	101118089	MAN1C1	mannosidase alpha class 1C member 1	-0.914885663455801	-1.25623503265181	-0.979407024647648	0.0234746511104253	0.000704289705211357	0.0115192403344856
ENSOARG00000005909	101115405	AP4S1	adaptor related protein complex 4 subunit sigma 1	2.721160885277	2.30896171777108	2.72627044968726	8.77975726598491e-05	0.000333109813581683	8.62535469663128e-05
ENSOARG00000005922	101105799	PPA1	pyrophosphatase (inorganic) 1	2.90456419275997	1.94812538254159	2.81451464263824	0.00122673635812928	0.0178746237759061	0.00153549715701067
ENSOARG00000005932		FBXO17	F-box protein 17	-1.54240886964895	-1.10532531331019	-1.647772219098	0.00427256531212641	0.0422773971633657	0.00301931099458202
ENSOARG00000005971	101111562	NXPH3	neurexophilin 3	-2.48942806318031	-3.27197497756273	-2.77110210333914	0.00235317048983448	0.00051807452000562	0.00129395687960414
ENSOARG00000005972	101102957	TNFSF15	TNF superfamily member 15	4.73001963163016	3.34927064732983	4.74626638730508	0.000493507971319129	0.00380808482623374	0.00049448203664085
ENSOARG00000005998	101117276	MADD	MAP kinase activating death domain	-1.49486750378166	-1.80042202894264	-1.36028732548879	0.00296694830475963	0.000721459921688914	0.00610550165108007
ENSOARG00000006006	101121529	MYO18A	myosin XVIIIA	-1.44791038629349	-1.43240429915514	-1.35488061946049	5.19741267801816e-05	6.09057705823382e-05	8.75259870105696e-05
ENSOARG00000006095	101115556	MINK1	misshapen like kinase 1	-1.39093949057662	-1.33099617208249	-1.3936575772483	0.000815712478474788	0.00122016184506919	0.000850655967378093
ENSOARG00000006099				1.49815707033504	0.945806229229884	1.54792891118655	0.000640116788402033	0.0481302177000042	0.000511754650620379
ENSOARG00000006104	101117253	CGAS	cyclic GMP-AMP synthase	2.67671025713599	1.76028875498726	2.61903828363311	0.000324204577670476	0.00771078266602967	0.00039150609090329
ENSOARG00000006108	101110645	PALD1	phosphatase domain containing paladin 1	-1.67749907833739	-2.55819944234445	-1.98463809466028	0.00206909162082484	0.000106980343357793	0.000603231713737753
ENSOARG00000006121	101107786	N4BP3	NEDD4 binding protein 3	0.987790406654235	1.2841333153006	1.02641711218748	0.0141541291006317	0.000819684867547137	0.00968108526150129
ENSOARG00000006142	101106234	IFIH1	interferon induced with helicase C domain 1	2.79332652283923	2.21210190208626	2.66803675946577	0.000208410476251602	0.00116615777774015	0.000302539479527185
ENSOARG00000006156	101106305	ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	-1.9944715987494	-2.4715375038296	-1.93668876370471	6.13305552113237e-05	1.65430627722477e-05	8.10766062073253e-05
ENSOARG00000006197	101104962	RGS3	regulator of G protein signaling 3	-1.82331192732309	-2.56271184510843	-1.73925541952507	0.00996726831454073	0.00105662175109145	0.0142308327247155
ENSOARG00000006209	101112853	ALAS1	5'-aminolevulinate synthase 1	1.41523206856426	1.51919511474183	1.2616308360247	0.000189075809042325	0.000116195973760472	0.000555719571993083
ENSOARG00000006211		ABI3	ABI family member 3	-3.16225952592503	-4.29661637320078	-3.06995890657249	5.86320967124931e-05	1.41555784595524e-05	6.82862859392676e-05
ENSOARG00000006249	101110875	TBX3	T-box 3	1.32485610675796	1.48704459398364	1.26306253842881	0.0192722070901387	0.00956601842067061	0.0281316790104708
ENSOARG00000006283	101118730	PITPNM2	phosphatidylinositol transfer protein membrane associated 2	-1.32325071300767	-1.36588935392848	-1.23710156131302	0.0103597827613076	0.00817384010860396	0.0177848426203602
ENSOARG00000006286	101111155	SGPL1	sphingosine-1-phosphate lyase 1	-1.34989586395028	-1.37342113554818	-1.36060567858129	0.000463126402064991	0.000427273219713663	0.000447142419698875
ENSOARG00000006322	101110180	LIF	LIF, interleukin 6 family cytokine	2.05127911646972	1.67708904137265	2.0625027993144	0.00287437117608257	0.0120397751959769	0.00287729186890844
ENSOARG00000006353	101122466		oncostatin M	3.69785556813502	3.58352534678783	3.46585813805193	0.000493507971319129	0.000645516050777686	0.000850819843199311
ENSOARG00000006356	101120189	BIRC3	baculoviral IAP repeat containing 3	3.31709389490341	2.94933242329173	3.23327093730038	4.61248092646039e-05	0.000106236606867868	5.38266624184717e-05
ENSOARG00000006358	101109969	CSF1R	colony stimulating factor 1 receptor	-2.77654537961526	-3.87573495372481	-2.99530456472223	9.10065610727863e-06	1.35238123790512e-06	4.98023377374176e-06
ENSOARG00000006368	101109237	HDGF	heparin binding growth factor	-0.796390556357528	-1.39818535076744	-0.803328594993416	0.047066021443318	6.07767470042709e-05	0.0438513998291103
ENSOARG00000006373	101107063	CLEC16A	C-type lectin domain containing 16A	1.076614742478	0.862652320620778	1.14666930611421	0.00386507977541837	0.0481302177000042	0.00190977807347313
ENSOARG00000006385	101116930	ZNRF1	zinc and ring finger 1	1.31302016875359	1.26733971466407	1.25567091700784	7.73022386838461e-05	0.000116195973760472	0.000121186106857608
ENSOARG00000006409	101102645	CRMP1	collapsin response mediator protein 1	-1.58727551384497	-2.30597799432745	-1.54524486069639	3.32375677615285e-05	2.17877966232808e-06	4.45256805031423e-05
ENSOARG00000006432		DUSP7	dual specificity phosphatase 7	-1.65850557595581	-1.48234454667413	-1.49374033583292	0.000190538284213383	0.000490922257425503	0.000475981616829715
ENSOARG00000006445	101112663	IL19	interleukin 19	7.56716466375218	4.31015933328069	7.61827568364079	1.06289448889691e-06	0.000201331049941157	9.95946674541951e-07
ENSOARG00000006493	101103839	ATG16L2	autophagy related 16 like 2	1.59849718750291	1.14265406761562	1.45295617213442	0.00240621003795143	0.0296389306748282	0.00477896282323462
ENSOARG00000006506	101107328	SLC29A3	solute carrier family 29 member 3	-1.28247374294986	-1.12293453220977	-1.15609924234293	0.010074770417316	0.0292429774732235	0.0235308552733596
ENSOARG00000006521	101121164	RAPGEF1	Rap guanine nucleotide exchange factor 1	-1.53558922504871	-1.07222911850923	-1.53399406302638	0.00126094076154246	0.0256037336685641	0.00131832335409901
ENSOARG00000006558	101113424	IL24	interleukin 24	4.50968314736335	3.88177026354003	4.35586943488126	5.81664166807203e-05	0.000227770204072227	8.00782357304089e-05
ENSOARG00000006581	100302551	SLC39A13	solute carrier family 39 member 13	-0.926013368332113	-1.04045231924733	-0.892033167339002	0.00878084918005037	0.00188644712455008	0.0145813092818302
ENSOARG00000006584	101111687	UGCG	UDP-glucose ceramide glucosyltransferase	1.57238095370709	1.30512898235986	1.68518241751304	0.00018083059499271	0.000891010092855698	9.85726659401931e-05
ENSOARG00000006591	101119898	ARHGAP9	Rho GTPase activating protein 9	-1.33963379713751	-2.47246931209536	-1.30559921489573	0.0153109619535982	0.000242602697060944	0.0190741979759885
ENSOARG00000006603	101112854	PCBP4	poly(rC) binding protein 4	-1.20053647237853	-1.35649414948515	-1.16851731254475	0.000948324828182054	0.000305263219646723	0.00134413609398555
ENSOARG00000006626	101103683	IRF7	interferon regulatory factor 7	2.63439389402484	2.24709237785656	2.52572228337953	0.00332009477180266	0.0103881723103501	0.00445702851181229
ENSOARG00000006701	101110687	PLD2	phospholipase D2	-0.989729140229852	-1.16982677097914	-0.925945522302181	0.0193150147359004	0.00351459889005693	0.0391558614622668
ENSOARG00000006704	101108528	ETV3	ETS variant 3	2.46256383799774	2.01282563888784	2.45156469242058	0.000511919995127468	0.00222356658738102	0.000532938176645152
ENSOARG00000006708	101122752		zinc finger protein 764	-1.53474818344978	-1.38365091106828	-1.50778727884685	0.0134137294872785	0.0229258692533505	0.0158429952966284
ENSOARG00000006729	101123429	TACC2	transforming acidic coiled-coil containing protein 2	-1.28398062355456	-1.09802911604249	-1.22966689854471	0.000352587975245847	0.00194791910691191	0.000547486129002694
ENSOARG00000006742	101120708	LRRC42	leucine rich repeat containing 42	-0.9620883249889	-0.963127692071074	-1.04103461982544	0.019393690739785	0.0200558141518061	0.00898877736075115
ENSOARG00000006754	101118871	PALM3	paralemmin 3	-1.66773917140746	-1.72602702055501	-1.74321898644098	0.000550334474030623	0.000440470234083756	0.000408910450138154
ENSOARG00000006790	101113346	SLFN11	schlafen family member 11	4.58901158503203	2.58586557084794	4.40082882569815	1.10548004848085e-05	0.000777245701611927	1.58358332921464e-05
ENSOARG00000006862	101103907	ST6GALNAC2	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	-1.15409613078906	-1.47459356249658	-1.12386200598858	0.0198794970506619	0.00308883332906926	0.0263497009592653
ENSOARG00000006876	101104014	BAZ1A	bromodomain adjacent to zinc finger domain 1A	1.71055151694232	1.31408623809025	1.59280286878836	0.000101998947306716	0.000963953274488063	0.000195799046924556
ENSOARG00000006883	101112625	VSIR	V-set immunoregulatory receptor	-2.26908693946786	-2.20930068045155	-2.2713537519925	0.000368739968670417	0.000442508423212069	0.000389468148537926
ENSOARG00000006902	101113686	HDAC5	histone deacetylase 5	-1.16928126228108	-1.17723955544697	-1.09088891334028	0.00106507607883884	0.000993466509474769	0.00250914615418211
ENSOARG00000006909				2.23686913860236	3.23236475547378	2.17826773156388	0.0228592117385102	0.00212788420417167	0.0286266551924773
ENSOARG00000006925		FAM78A	family with sequence similarity 78 member A	-2.26703545648463	-2.052192291304	-2.37857904211298	0.000947346158770305	0.00180245379467398	0.000752519654468786
ENSOARG00000006946				1.39334475746393	0.969266363731806	1.41251124334095	8.52202674153802e-05	0.00523338608117238	7.69795574938639e-05
ENSOARG00000007011	101122873	TRIM25	tripartite motif containing 25	1.98122714920524	1.26127613044012	1.9494924430925	0.000136463673143899	0.0059757667047725	0.000162156839495507
ENSOARG00000007045	101117382	TAF4B	TATA-box binding protein associated factor 4b	2.53666401828652	2.27446118887884	2.28927559293244	3.16651121256708e-05	7.56970724060278e-05	6.82862859392676e-05
ENSOARG00000007137	101118556	RRAS2	RAS related 2	1.35654118641691	1.16152200189139	1.32124374501228	0.00123448750787834	0.00564670233263819	0.0016254387433839
ENSOARG00000007148		CDKN2AIP	CDKN2A interacting protein	2.32030857201395	1.40174956032495	2.15692766813026	0.000118389399762745	0.00632405459932563	0.000211010648117703
ENSOARG00000007191				-1.26379982519841	-1.7864445352321	-1.09272948515293	0.000987075843252512	6.07767470042709e-05	0.00490038652368653
ENSOARG00000007215		CPPED1	calcineurin like phosphoesterase domain containing 1	-1.59611091467435	-2.21276450430337	-1.85119030179913	0.00588572839225842	0.000543849874209195	0.00202815553529833
ENSOARG00000007233	443057	ISG15	ISG15 ubiquitin-like modifier	3.80732694668993	3.60312752053087	3.68592894716124	4.51832901809125e-06	7.69797251925777e-06	5.29533527722268e-06
ENSOARG00000007244	101118240	ACOT11	acyl-CoA thioesterase 11	-1.49782212990752	-1.51785472045542	-2.0447890212676	0.00762337312040164	0.00669452469138513	0.0011075252469161
ENSOARG00000007246	101120210	ZNF521	zinc finger protein 521	-1.30269072830773	-1.08076520631804	-1.36160680742725	0.00494121110845275	0.0222572739794161	0.00346882386087815
ENSOARG00000007247	101122854	TMEM106B	transmembrane protein 106B	-1.09471039146274	-1.01625760489932	-1.02932991021974	0.00794580398640442	0.0170774296172311	0.0150720033733441
ENSOARG00000007251	101111125	GPBP1	GC-rich promoter binding protein 1	1.44321226588059	1.1594552410485	1.38931422845738	0.000299150725197979	0.00240946318562606	0.000416451565925394
ENSOARG00000007253				-1.77643854710552	-2.43879359391057	-1.63088271764915	0.00332009477180266	0.000374591047684024	0.00628686335593888
ENSOARG00000007283	101118501	FSD1L	fibronectin type III and SPRY domain containing 1 like	-1.19707075144697	-1.25538891844803	-1.67061838359781	0.0308293791776221	0.0235118104884782	0.00412040685886377
ENSOARG00000007296	101115886	SNX11	sorting nexin 11	1.23616876014869	1.32318892364247	1.28821345187073	0.00126779748873671	0.000657480760810503	0.000863211176546989
ENSOARG00000007303				1.66713002158481	1.17176482421691	1.55631311547486	0.000889374282378339	0.0173464343074512	0.00165698997810528
ENSOARG00000007304				2.77819997047274	2.74489893373533	2.78263720114117	9.8779948010101e-05	0.000114704578560763	9.65161091398513e-05
