ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.LPS100_2_hit.logFC	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.logFC	LPS100_1_hit.vs.LPS100_2_hit.p.value	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.p.value
ENSOARG00000006470	101103829	NOP56	NOP56 ribonucleoprotein	-1.42638939551663	-1.5407875846702	0.00203653958126393	0.00108221404729148
ENSOARG00000006493	101103839	ATG16L2	autophagy related 16 like 2	1.48007740967188	1.41428542103565	0.0187828120439107	0.023450482199528
ENSOARG00000006499	101110338	FILIP1	filamin A interacting protein 1	2.11841832260017	2.31941305559752	0.00842342809921602	0.00534054728481423
ENSOARG00000006514	101115892	FRMD4A	FERM domain containing 4A	1.03810016852478	0.955856221117753	0.0212039220318574	0.0396425902517582
ENSOARG00000006547	101119345	NDC1	NDC1 transmembrane nucleoporin	-1.10553804501971	-1.06154070250922	0.0185424450684088	0.0261291629800766
ENSOARG00000006580	101102574	MFSD11	major facilitator superfamily domain containing 11	1.29058635281456	1.24378011843294	0.0306369517437524	0.0403162468218897
ENSOARG00000006673	101110599	MYO6	myosin VI	1.23384490339038	1.13811585116546	0.00385027355697124	0.00769919280116131
ENSOARG00000006729	101123429	TACC2	transforming acidic coiled-coil containing protein 2	-1.08509256118973	-1.03705511586817	0.00864119085816248	0.0128862633183494
ENSOARG00000006823	101122608	SUGT1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone	1.10216822354395	1.06777235136304	0.0142747087055719	0.0179662559939036
ENSOARG00000006901	101116649	THSD7A	thrombospondin type 1 domain containing 7A	1.75253016128872	2.06374213383703	0.00275562071116385	0.000895895133748111
ENSOARG00000006902	101113686	HDAC5	histone deacetylase 5	1.35604944113773	1.42921168079673	0.00213631618842749	0.00141168660428554
ENSOARG00000006963	100145867	SNRPA	small nuclear ribonucleoprotein polypeptide A	-1.46349937305822	-1.27734711848177	0.00331983691617257	0.00923829410320564
ENSOARG00000007030	101102904	EVC2	EvC ciliary complex subunit 2	-1.34978865477451	-1.12682329275647	0.00368964607989848	0.0154744691798937
ENSOARG00000007033	101119699	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase	1.03036899261461	0.944626035036087	0.0201010833966084	0.0400000832575841
ENSOARG00000007047	101113154	LCA5	LCA5, lebercilin	2.42130706466239	2.58787093168851	0.0051090057194193	0.00573931028895623
ENSOARG00000007049		ABCD1	ATP binding cassette subfamily D member 1	1.23954524113704	1.17486275963775	0.027824456827134	0.0392681125830846
ENSOARG00000007124	101115680	ELP1	elongator complex protein 1	-1.21278311277026	-0.988635693423202	0.00588878411572759	0.0336140421020578
ENSOARG00000007173	101123498	RNF215	ring finger protein 215	-1.02518123807295	-1.01111085169157	0.0279429007845853	0.0304881546224141
ENSOARG00000007210	101108953	PDE4D	cAMP-specific 3',5'-cyclic phosphodiesterase 4D	-1.95569520146309	-1.86961042909697	0.0205040411187068	0.0267454679593783
ENSOARG00000007227	101118199	NLE1	notchless homolog 1	-1.2443076440587	-1.17175831531602	0.00901042325629285	0.0140033735273374
ENSOARG00000007315	101109109	PERM1	PPARGC1 and ESRR induced regulator, muscle 1	1.17509354713522	1.17911576334755	0.0370368105423489	0.0375830450449979
ENSOARG00000007350	101107192	TRIM52	tripartite motif containing 52	-1.25911648102412	-1.19519929243668	0.00886609324323874	0.0134412232209658
ENSOARG00000007380				3.42311398644596	3.61157156205726	0.0233048196174385	0.0152138642784696
ENSOARG00000007388		MSX1	msh homeobox 1	2.20511122525838	2.72174934692343	0.0166059133173493	0.0061856914831126
ENSOARG00000007392	101112260	MAP3K1	mitogen-activated protein kinase kinase kinase 1	-1.08150545609769	-1.0632607978404	0.0301555054765857	0.0337283586997656
ENSOARG00000007438	101114760	EXOSC2	exosome component 2	-0.952415118134217	-1.13251525113035	0.0421038372746602	0.0100417512533501
ENSOARG00000007472	443031	CASP3	caspase 3	-1.11912683314058	-1.25346403036844	0.0218743117209372	0.00909991131132323
ENSOARG00000007559		PODNL1	podocan like 1	1.5807884294866	2.4947059697956	0.00486219619611947	0.000416567367891153
ENSOARG00000007560	101121370	ARHGAP42	Rho GTPase activating protein 42	1.66431929693959	1.28015393327327	0.00947983409641234	0.0377503899105523
ENSOARG00000007598	101123182	MSANTD3-TMEFF1	transmembrane protein with EGF like and two follistatin like domains 1	-1.10443550445037	-1.2220453379552	0.016162167545434	0.00714319281275635
ENSOARG00000007625	101120946	IL10RA	interleukin 10 receptor subunit alpha	1.34864251935476	1.24500991637282	0.00509172755434967	0.00878729525302026
ENSOARG00000007727	101112619	BFAR	bifunctional apoptosis regulator	1.16104282392778	1.19677897813272	0.00696822884296771	0.00534714695578781
ENSOARG00000007786	100885762	GADD45G	growth arrest and DNA damage inducible gamma	-1.43172835104722	-1.74324520099729	0.0288295534055852	0.00944430719730344
ENSOARG00000007792	101103327	FAM49B	family with sequence similarity 49 member B	0.998879909844698	0.977313285899489	0.025003087698895	0.0299675485856432
ENSOARG00000007850	101109779	ROR2	receptor tyrosine kinase like orphan receptor 2	0.993981369925415	0.963271876076588	0.0223907218808532	0.0292633591293432
ENSOARG00000007883	443341	IL7	interleukin 7	2.15725127929863	2.57583617211961	0.0363263373712434	0.025174481606051
ENSOARG00000007915	100271925	HEY2	hes related family bHLH transcription factor with YRPW motif 2	1.45997788324669	1.67441219260982	0.0469359864417402	0.0276668961168715
ENSOARG00000007923		ACBD7	acyl-CoA binding domain containing 7	2.54513850528585	2.28415781484523	0.00261320593284805	0.00733135772382001
ENSOARG00000007937	101113119	RRN3	RRN3 homolog, RNA polymerase I transcription factor	-1.19190972932376	-0.935717609261838	0.00611119926835673	0.0467771235832719
ENSOARG00000007959	101106728	SPTBN2	spectrin beta chain, non-erythrocytic 2	-1.28454482768377	-1.42752819134219	0.00705351651169553	0.00289359396360964
ENSOARG00000007981	101106233	PTPDC1	protein tyrosine phosphatase domain containing 1	1.26654540947996	1.61214686239173	0.0140871325821873	0.0031434522529096
ENSOARG00000008003	101120254	MRPS23	mitochondrial ribosomal protein S23	-1.36422645847195	-1.43117510381427	0.00287772146067243	0.00192996550141136
ENSOARG00000008006	101119141	RNF217	ring finger protein 217	1.8389037338669	1.80874462697564	0.00834811608747672	0.0100049600064798
ENSOARG00000008101	101118458	OSBPL7	oxysterol binding protein like 7	-1.23304925340704	-1.18206056877263	0.00999414796314029	0.0142258342048953
ENSOARG00000008136	101107410	SUSD3	sushi domain containing 3	3.36389494804364	3.14485403317603	0.0361105408469765	0.0352625392720778
ENSOARG00000008146	101112792	NSDHL	NAD(P) dependent steroid dehydrogenase-like	-0.887445762773885	-0.864874335266908	0.0311486873355605	0.0400750239999081
ENSOARG00000008187	101117439	FAM171A1	family with sequence similarity 171 member A1	0.991644014802059	1.09894759583369	0.0332760386979959	0.0149681328101678
ENSOARG00000008190	101112119	BICD2	BICD cargo adaptor 2	-0.916099761058532	-0.994388636318221	0.0473269630540415	0.0236925306154253
ENSOARG00000008215	101119403	LAMP1	lysosomal associated membrane protein 1	1.0540407584938	0.84080085127918	0.0055597471120354	0.0487632394346738
ENSOARG00000008246	100144755	RB1	RB transcriptional corepressor 1	1.50216735765028	1.87090189720211	0.00776013164329066	0.00197029555347763
ENSOARG00000008284				-1.14831852702095	-1.14688350900255	0.0239581040620053	0.0227318714076493
ENSOARG00000008295	101112068	TPD52	tumor protein D52	1.26428203748282	1.46492704671249	0.005697421924585	0.00212494164951265
ENSOARG00000008304	101115765	GYG2	glycogenin 2	-1.51055931519513	-1.27442394081013	0.00438008184554444	0.0143104062036444
ENSOARG00000008323	101121021	SRSF1	serine and arginine rich splicing factor 1	-1.13925867994679	-1.17673744248619	0.00327557767764104	0.00224708271367508
ENSOARG00000008326	101113612	TMEM201	transmembrane protein 201	-1.65128197814596	-1.31861252500924	0.00665007921765152	0.0256760739821166
ENSOARG00000008343	101114509	LTBR	lymphotoxin beta receptor	1.05340684089849	1.14824436353953	0.0245188103349471	0.0123619924821271
ENSOARG00000008408	101103326	MAN1A1	mannosidase alpha class 1A member 1	-1.08063822667088	-1.02701266198351	0.0320586214721629	0.044858102928814
ENSOARG00000008409	101123145	CCDC82	coiled-coil domain containing 82	1.17305475847669	1.45085186183177	0.0179232233422623	0.00440777654384226
ENSOARG00000008413	101122632	SEC23A	Sec23 homolog A, coat complex II component	0.983959614438481	0.998891364462417	0.0332419106733499	0.0296577874841512
ENSOARG00000008420	101119880	HSD17B10	hydroxysteroid 17-beta dehydrogenase 10	-1.06842887004804	-1.21369106879834	0.0057275346210787	0.00150927521777065
ENSOARG00000008441	101117516	TFDP1	transcription factor Dp-1	-0.963406563654065	-0.980657548288634	0.0187240345783823	0.015604582827274
ENSOARG00000008452	100302313	ARL5A	ADP ribosylation factor like GTPase 5A	1.1416054654689	1.38723846608068	0.0242196132446485	0.0067685962700865
ENSOARG00000008468	101121040	EMB	embigin	1.08073757728294	1.38576480630092	0.00777475564297111	0.000912298640931843
ENSOARG00000008479	101110003	SUMF1	sulfatase modifying factor 1	0.983083062228056	0.872229563339569	0.0167401649106118	0.0471664050682052
ENSOARG00000008517	101117129	LOC101117129	inhibitor of carbonic anhydrase-like	-1.17838842247326	-1.31020550858596	0.0427028769809477	0.0234120180491683
ENSOARG00000008556	101116583	RCBTB1	RCC1 and BTB domain containing protein 1	2.54141355259793	2.45318457035816	0.0073362969555954	0.00879716370917982
ENSOARG00000008570	101107010	RBMS2	RNA binding motif single stranded interacting protein 2	1.04934722268968	0.983077597861593	0.0299924358638198	0.0463857742203772
ENSOARG00000008573	101121801	NNT	nicotinamide nucleotide transhydrogenase	0.956934559416944	0.957276202165852	0.0298857335637678	0.029672321149216
ENSOARG00000008578	101112193	PTCH1	patched 1	-1.7999668213369	-1.77085776394507	0.0061270675617278	0.00623647802904506
ENSOARG00000008608	101112700	FANCC	FA complementation group C	1.42786639432037	1.81384504439332	0.0190951076842442	0.00592552866105685
ENSOARG00000008614	101105772	PHLDB3	pleckstrin homology like domain family B member 3	1.74376822569834	1.39328475419923	0.00183055161331707	0.00777954708569368
ENSOARG00000008640	101118258	DHX57	DExH-box helicase 57	-1.00331755184809	-0.98989278370571	0.0138084317305243	0.0157031264157671
ENSOARG00000008650	101113198	FBP1	fructose-bisphosphatase 1	1.45657422062792	1.74718487697069	0.0161406947493211	0.0057892058077721
ENSOARG00000008682	101122979	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1	-1.11360490359869	-1.29513511281005	0.00433553592966944	0.000973316634439015
ENSOARG00000008683	101113725	CTSL	cathepsin L	1.71002721119309	1.57959017231381	0.0191915833564336	0.0292618853542273
ENSOARG00000008692	101121718	LOC101121718	40S ribosomal protein S4, X isoform	-1.00417223054899	-0.982465999117454	0.0103506709501395	0.0128980811353969
ENSOARG00000008721	101117798	C20H6orf141	chromosome 20 open reading frame, human C6orf141	-1.5821306917306	-1.72347797674545	0.0471320105478351	0.0330744296123521
ENSOARG00000008737	101115599	TMEM108	transmembrane protein 108	-1.39257751516727	-1.37155718321491	0.0244107783780979	0.0258519760136115
ENSOARG00000008793	101105148	IER5L	immediate early response 5 like	1.49497862522018	1.76990755656396	0.00736239486860006	0.00227620650834145
ENSOARG00000008803	101123114	CNOT4	CCR4-NOT transcription complex subunit 4	1.0714483113472	1.03932137961134	0.0342445356594317	0.0414137277554986
ENSOARG00000008850	101109913	MMAA	metabolism of cobalamin associated A	1.51255857532619	1.11368192371011	0.00559540987889834	0.0374892742889675
ENSOARG00000008914				-1.73518908024928	-1.76987362312759	0.00954662680654464	0.00870460535058198
ENSOARG00000008947		KCNN4	potassium calcium-activated channel subfamily N member 4	2.08861084279818	2.41219675413413	0.0181390123111777	0.0136615138361767
ENSOARG00000008948	101101877	KIF17	kinesin family member 17	-2.11137736790095	-1.9888395685471	0.0202596042930343	0.0301956887633777
ENSOARG00000008953	101109632	PLEKHM2	pleckstrin homology and RUN domain containing M2	0.934957154768855	0.842633025368817	0.0180332418574307	0.0473177004402897
ENSOARG00000008968	101112287	LOC101112287	spermine synthase	1.20141128095061	1.13861800617708	0.0129428618048512	0.0191901452085412
ENSOARG00000008977	101116552	NUP188	nucleoporin 188	-1.01899057268488	-0.958986587123574	0.023108504597576	0.0372042732225922
ENSOARG00000008988	101122126	PLCG2	phospholipase C gamma 2	1.21665183731979	1.38871433125976	0.0218000542735302	0.0115972929120929
ENSOARG00000009033		LRMDA	leucine rich melanocyte differentiation associated	3.10217123188093	3.38867674571743	0.000327540145485733	0.000298890047567281
ENSOARG00000009038	101104937	C14orf28	chromosome 18 open reading frame, human C14orf28	2.53572416618097	2.19779142306443	0.00847364019791627	0.0173619542960749
ENSOARG00000009043	101108381	STARD3NL	STARD3 N-terminal like	1.2033554393346	1.10036448328474	0.0161927559395742	0.0298020174440839
ENSOARG00000009089	443229	SMAD1	SMAD family member 1	1.24648777965456	1.12514052413433	0.0232647691922743	0.0417989637273051
ENSOARG00000009152	105613550	LOC105613550	elongation factor 1-alpha 1-like	1.194926430411	1.14410707095874	0.00734600516736319	0.0100452934721001
ENSOARG00000009289	101121357	CKAP2	cytoskeleton associated protein 2	1.63016679984918	1.86368383762315	0.00397564383583017	0.00176843419130866
ENSOARG00000009294	101122575	MAGED1	MAGE family member D1	0.917852449808974	0.994043517154257	0.0161406947493211	0.0067557182921108
ENSOARG00000009323	101111740	BCAM	basal cell adhesion molecule (Lutheran blood group)	1.10615310480203	0.901048448591491	0.00618647872014826	0.0379285362637311
ENSOARG00000009370		NECTIN2	nectin cell adhesion molecule 2	2.03662526356359	1.66358495572115	0.000182998987954585	0.000837098108298706
ENSOARG00000009374	101106171	FBXL5	F-box and leucine rich repeat protein 5	0.991398917420754	1.07250133346062	0.0127012377163197	0.00585537226614838
ENSOARG00000009388	101107367	THSD1	thrombospondin type 1 domain containing 1	2.28092939706624	2.3719232590415	0.00731315830164137	0.00572223362562608
ENSOARG00000009397	101121680	TRMT1	tRNA methyltransferase 1	-0.905220811835644	-0.980091519481903	0.0372628008384562	0.0176583006413041
ENSOARG00000009508	101113663	KIF5C	kinesin family member 5C	1.60325159203102	1.48286658837764	0.0297025996785228	0.0441460381261608
ENSOARG00000009540	101121334	CEBPZ	CCAAT enhancer binding protein zeta	-1.13969592940105	-1.05203599936113	0.00526046666607136	0.0111330800426498
ENSOARG00000009562	101112500	AHCY	adenosylhomocysteinase	2.1714192285651	2.54479279205725	0.00800921825102719	0.00278182388578514
ENSOARG00000009579	101110057	PLPPR3	phospholipid phosphatase related 3	-1.54201967612126	-1.32558082739882	0.0206004773588638	0.0397052546817187
ENSOARG00000009599	101109831	ALDH1A3	aldehyde dehydrogenase 1 family member A3	1.55886143306928	1.59077535832635	0.0172626317621355	0.0149117647431063
ENSOARG00000009611	101104133	LOC101104133	myc box-dependent-interacting protein 1-like	-0.9247887482995	-0.869105315697136	0.0221509802289073	0.0400545288353863
ENSOARG00000009614	443154	HYAL2	hyaluronidase 2	-1.18768681966497	-1.26882988941232	0.00112938881286625	0.000545203164704962
ENSOARG00000009641		HDAC9	histone deacetylase 9	2.11732352841873	1.83970500741308	0.00347962513323141	0.0090582855032301
ENSOARG00000009650	101108436	ALG6	ALG6, alpha-1,3-glucosyltransferase	1.34703441536849	1.53457497205857	0.0312653395824135	0.0180313852698358
ENSOARG00000009655	101121809	E2F3	E2F transcription factor 3	-1.02392270481967	-1.01131225227497	0.0155119181243099	0.017597856705366
ENSOARG00000009694	101108660	TUBE1	tubulin epsilon 1	-1.23464266941052	-0.980839837059946	0.00446684583786666	0.0329415035659465
ENSOARG00000009735	101120439	SLC43A1	solute carrier family 43 member 1	-1.0680200679182	-1.00393940654035	0.023750237048975	0.0380159519040695
ENSOARG00000009750	101102901	NPNT	nephronectin	-1.51495571616301	-1.81859804418181	0.00503522540638758	0.00134450121811005
ENSOARG00000009772	101107431		spectrin alpha, non-erythrocytic 1	1.10443913705201	1.01368797926032	0.0181268547477595	0.0331425375874616
ENSOARG00000009801	101106885	ADAL	adenosine deaminase like	-1.40346148161761	-1.4254309308676	0.00932198035262684	0.00915759694467922
ENSOARG00000009818	101119237	NCOA3	nuclear receptor coactivator 3	1.39667985086124	1.2529628940823	0.016559246565467	0.0298512833640674
ENSOARG00000009887	101113976	CHST15	carbohydrate sulfotransferase 15	-1.5183742142156	-1.71134718546676	0.0130961268551332	0.00675747016537206
ENSOARG00000009888	101111771	ZCCHC24	zinc finger CCHC-type containing 24	1.55616103273969	1.58862768405474	0.0101377799516104	0.00839805536313843
ENSOARG00000009906	101110879	TTC23	tetratricopeptide repeat domain 23	2.09151936189472	1.74908124841582	0.00107329532418774	0.00391741663171222
ENSOARG00000009927	101110851	AMD1	adenosylmethionine decarboxylase 1	-1.10399608209555	-1.03216556535925	0.0153228883827073	0.0265054849119484
ENSOARG00000009942	101119539	NEFL	neurofilament light	1.95702951843327	1.76854417043342	0.0166364743708712	0.0294395999236652
ENSOARG00000010011	101108445	CCT6A	chaperonin containing TCP1 subunit 6A	-0.94650480882782	-0.87506491749776	0.0108125598682304	0.0253229732485823
ENSOARG00000010012	101106676	SNX10	sorting nexin 10	3.23709315879763	2.73889974562447	0.00050542421991191	0.00156792435618913
ENSOARG00000010030	101110463	RAVER2	ribonucleoprotein, PTB binding 2	2.52961646564722	2.29454666282316	0.00148228861376387	0.00360101742800086
ENSOARG00000010050		GALNT18	polypeptide N-acetylgalactosaminyltransferase 18	2.47940718209422	1.69458640947923	0.00406326729437356	0.0302944807112938
ENSOARG00000010061	101115906	PATZ1	POZ/BTB and AT hook containing zinc finger 1	-1.52004223904857	-1.25273564747819	0.0133532070349371	0.0408777314912959
ENSOARG00000010103	101120555	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4	-1.2117269667899	-1.19350649487455	0.00240019678495732	0.00268569266209875
ENSOARG00000010110	443491	SLC6A4	solute carrier family 6 member 4	2.0733750848574	1.91419241458842	0.0318578186054736	0.0484563705672326
ENSOARG00000010134	101108027	ARMCX2	armadillo repeat containing X-linked 2	1.69328899654437	1.59011779993622	0.0220818787989789	0.0303284218813982
ENSOARG00000010139	101112488	WASF1	WAS protein family member 1	1.8451921222214	1.58559862244059	0.0134840488201873	0.0294011510923489
ENSOARG00000010147	101107637	TP53BP1	tumor protein p53 binding protein 1	-0.898531822252313	-0.835008861996077	0.0192462489023558	0.0406979399933046
ENSOARG00000010301	101122732	DEK	DEK proto-oncogene	1.02284399876211	0.953232176150251	0.0100942202368995	0.0195521228359175
ENSOARG00000010325	101120426	LLGL2	LLGL2, scribble cell polarity complex component	-1.77699493450082	-1.81149384701239	0.00385027355697124	0.0031891356919236
ENSOARG00000010361	101120680	TSEN54	tRNA splicing endonuclease subunit 54	-1.34821157523039	-1.35431263569242	0.00154457299001363	0.00139690844022952
ENSOARG00000010368	101117606	RTEL1	regulator of telomere elongation helicase 1	-1.11931343842322	-1.01796356678611	0.00628268568408152	0.0149493257929908
ENSOARG00000010458		BATF3	basic leucine zipper ATF-like transcription factor 3	2.02012695183099	1.80449371657233	0.00405906767263837	0.00788659196295499
ENSOARG00000010472				3.64635418715338	2.56799382113523	0.0070416544561097	0.0264798009543899
ENSOARG00000010492	101114873	CD164	CD164 molecule	1.31512141113533	1.11768052671773	0.00111786622164173	0.00473744546911246
ENSOARG00000010501				1.10980274246891	1.29814733100168	0.0268091543396197	0.0111425311491162
ENSOARG00000010512	101110936	SGCD	sarcoglycan delta	1.00421379755237	1.00351456606796	0.0234361771386225	0.0245230275256985
ENSOARG00000010513	101122842	FAM160B2	family with sequence similarity 160 member B2	-1.5668131920313	-1.34373277847505	0.000201361967641001	0.000773280627457186
ENSOARG00000010531	101122986	KDM1B	lysine demethylase 1B	2.27575650374615	2.57802336747209	0.000107613413858307	5.9435856882105e-05
ENSOARG00000010552	100302315	ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1	1.27386397325209	1.10564183714557	0.00326822881423816	0.0108462864597118
ENSOARG00000010666	101115486	AKAP13	A-kinase anchor protein 13	1.2436062590921	1.19345202729944	0.00359219606920961	0.00484832365961454
ENSOARG00000010679	100217405	SLC25A19	solute carrier family 25 member 19	1.2315407534169	1.55552731625766	0.0143919951056094	0.00324251099193736
ENSOARG00000010711	100180629	TSPAN9	tetraspanin 9	1.18634193959661	1.09224896128543	0.00873806840202981	0.0164363315237558
ENSOARG00000010736	101109266	GSDME	gasdermin E	1.45102546667526	1.28188943378905	0.0115353919159938	0.0232534145750297
ENSOARG00000010762	101123612		contactin-associated protein-like 3	2.90600624325374	1.6860573821831	0.000629255123243299	0.0141203359689426
ENSOARG00000010772				1.24207116779786	1.18276333081786	0.0340049089359429	0.0437962346740383
ENSOARG00000010818				-1.64601033602161	-1.40244783867032	0.0195322009553609	0.0357476257344647
ENSOARG00000010841	101120490	DNAH11	dynein axonemal heavy chain 11	-1.90986762603118	-1.78683510599039	0.00271204450586163	0.00445269867536869
ENSOARG00000010860	101114544	GSS	glutathione synthetase	1.3216621027993	1.06575379407962	0.00370879329148301	0.0193694898960485
ENSOARG00000010865	101110157	MRPS7	mitochondrial ribosomal protein S7	-0.925395796206894	-1.01761573438237	0.0166364743708712	0.00597695756420753
ENSOARG00000010876	101122386	MRPL46	mitochondrial ribosomal protein L46	-0.953380936510969	-1.3247033892496	0.0493566137942194	0.0033553834838357
ENSOARG00000010883	101118028	OSTM1	osteoclastogenesis associated transmembrane protein 1	1.19658309627608	1.30179254179578	0.0141442475999003	0.00778460108999389
ENSOARG00000010889				1.85208337991974	1.8010522528157	0.00708334637141428	0.00876027369557344
ENSOARG00000010905	101112531	RCC1L	RCC1 like	-1.17690335973555	-1.30984918798883	0.00925843739557139	0.00363768675885183
ENSOARG00000010924	101115396	EXOSC6	exosome component 6	-1.27879564771282	-1.15954475299711	0.0227647452826089	0.0418935384651152
ENSOARG00000010941	101117867	SAE1	SUMO1 activating enzyme subunit 1	-0.831363388953495	-0.819239918955829	0.0341615471581039	0.0390151373302517
ENSOARG00000010994	101116826	POLR2E	RNA polymerase II subunit E	-0.97765718522191	-0.983455703398164	0.026814965681291	0.0250421793406176
ENSOARG00000011029	101109715	N4BP2L1	NEDD4 binding protein 2 like 1	2.50888459028269	1.85258855057992	0.00476191130814237	0.0193334634253118
ENSOARG00000011179	101109980	BRCA2	BRCA2, DNA repair associated	1.33924065907273	1.5938752128379	0.0393760792160481	0.0211098382684378
ENSOARG00000011181				1.26740821725302	1.48962986667892	0.0155679164034115	0.00571171777944618
ENSOARG00000011182	101104570	TTC26	tetratricopeptide repeat domain 26	-1.30192886984124	-1.57363920282006	0.0112547892226642	0.0033602286768328
ENSOARG00000011185	101115666	AVPI1	arginine vasopressin induced 1	2.09867206354254	1.98135667735118	0.0354429551264266	0.0460862587657663
ENSOARG00000011191	101101996	OGFRL1	opioid growth factor receptor like 1	-2.17732196442969	-2.34209514539704	0.00626591167361564	0.00385424539581618
ENSOARG00000011268	101122203	ARMC7	armadillo repeat containing 7	-0.993690759340045	-1.03003702745598	0.0413158036898294	0.0321681882445124
ENSOARG00000011294				1.36112071198021	1.89533413385642	0.0144218971361071	0.00175270131474478
ENSOARG00000011347	101116937		fibrosin-1-like protein	-1.1518133641099	-1.11586110779756	0.0180596352884805	0.0223202905663425
ENSOARG00000011365		DCAF10	DDB1 and CUL4 associated factor 10	-1.04358201077317	-0.946877552040067	0.0230793769493176	0.0482051730173856
ENSOARG00000011434	101123526	RRP1	ribosomal RNA processing 1	-0.915248867673757	-1.14677833331682	0.0307358231969263	0.00321043745937648
ENSOARG00000011477	101114120	GEMIN4	gem nuclear organelle associated protein 4	-1.23665930929198	-1.28820021806973	0.00595378567884356	0.00412397392776944
ENSOARG00000011489	101105055	SLC9A6	solute carrier family 9 member A6	-1.18575517138579	-0.932238802671509	0.00559540987889834	0.0447427136518218
ENSOARG00000011500	101109257	DYSF	dysferlin	3.47198685495525	3.68108154251477	0.0111567813391324	0.00868605773204841
ENSOARG00000011569	101116779	DEPDC1	DEP domain containing 1	2.31920438244415	3.11537840340416	0.0123061482418594	0.00488529837704654
ENSOARG00000011582	101110922	CYP26B1	cytochrome P450 26B1	5.55651922281947	4.96651560683964	0.00647948680263543	0.00818637013722471
ENSOARG00000011648	101103750	FOXL1	forkhead box L1	2.22262011456655	2.53039147057701	0.00883775767161302	0.00412397392776944
ENSOARG00000011674	101117161	MATK	megakaryocyte-associated tyrosine kinase	3.42432557552254	2.93638512973222	0.00445088691108793	0.0124581921011305
ENSOARG00000011675	101117542	CD2AP	CD2 associated protein	-1.19773824422502	-1.16817802227064	0.0304714909348408	0.0360087478779738
ENSOARG00000011708	100381247	SOLD1	secreted protein of Ly-6 domain 1	2.16994906978907	2.29575333845786	0.0129819381334312	0.0102894665902632
ENSOARG00000011722				-1.80219808820754	-2.03457186322266	0.00121195615156218	0.000459377281078233
ENSOARG00000011736	101112268	FAM8A1	family with sequence similarity 8 member A1	1.23320995551781	1.41335478059223	0.00808251616773142	0.00287516666762661
ENSOARG00000011742	101111092	HIPK2	homeodomain interacting protein kinase 2	1.53464212602225	1.26605700248037	0.00400805185351309	0.0131347046926934
ENSOARG00000011756	101110772	HSPH1	heat shock protein family H (Hsp110) member 1	-1.02374210947582	-1.05985537654113	0.0196881962450223	0.0142438127464383
ENSOARG00000011793	101113291	POGK	pogo transposable element derived with KRAB domain	-1.11096587026724	-1.22057343328919	0.0189594090494565	0.00897959212614256
ENSOARG00000011829	101104590	EPRS	glutamyl-prolyl-tRNA synthetase	-0.839528030454415	-0.853232197541197	0.031502598676642	0.0263641431243983
ENSOARG00000011850	101111491	PXN	paxillin	-1.1012677955537	-1.13690370514188	0.0206004773588638	0.0154367481102629
ENSOARG00000011882	101111815	USPL1	ubiquitin specific peptidase like 1	-1.45743653617694	-1.29303089158163	0.00436747281983334	0.010983525945267
ENSOARG00000011910	101110900	LIMK1	LIM domain kinase 1	1.44311396332704	1.05992977325867	0.00118956856798466	0.0147832355228577
ENSOARG00000011920	101111709	STEAP1	STEAP family member 1	4.49629128325796	4.93258255767059	0.00520152563635346	0.0041942884570485
ENSOARG00000011933	101121946	ADAP2	ArfGAP with dual PH domains 2	2.58275603656844	2.45306234977431	0.00253830219489229	0.00432746790428717
ENSOARG00000011999	101105019	JPH3	junctophilin 3	3.27571124830634	5.8927078908466	0.0226308810357168	0.00545178638798288
ENSOARG00000012002	101114703	SMIM14	small integral membrane protein 14	1.11862587409015	1.09693523577088	0.00874536716573147	0.0105289952905861
ENSOARG00000012045	101105257	KLHL32	kelch like family member 32	-1.83041691070985	-1.78003413187989	0.022728458233	0.0290663064736939
ENSOARG00000012051		MTUS2	microtubule associated scaffold protein 2	-1.67987649909891	-1.49579983611342	0.00542335011073824	0.0104831005752593
ENSOARG00000012054	101109967	SSBP4	single stranded DNA binding protein 4	1.05574898763628	1.30821887942291	0.011513640488061	0.00177816352258126
ENSOARG00000012055	100188975		hypoxanthine phosphoribosyltransferase 1	-1.00516646252372	-0.944147952994445	0.0134164410989503	0.0248076824983637
ENSOARG00000012076	101103247	SKA2	uncharacterized LOC101103247	1.39059099279194	1.5024577804393	0.0296392410828389	0.0211245589426295
ENSOARG00000012088	101110375	HPS1	HPS1, biogenesis of lysosomal organelles complex 3 subunit 1	1.15372623770231	1.01127157021399	0.0122945775056404	0.0330670216033577
ENSOARG00000012101	101123378	DCK	deoxycytidine kinase	2.01813244538838	2.00756959714381	0.0159922591980461	0.0182319182958496
ENSOARG00000012141	101113284	ATXN1	ataxin 1	1.26547018799379	1.66946495604107	0.0350630541635036	0.00843142697532285
ENSOARG00000012146	101104007	SWAP70	switching B cell complex subunit SWAP70	1.78933752232084	1.49541643466329	0.000289203277741096	0.00121853717712527
